POINT_TYPE,AveTree,AvePFG,AveAFG,AveShrub,AveLit,AveBG,AveTemp,AvePrecip,AveCrop,DensOil,DensWind,DensRoadway,DistHighway,DistWind,DistTrans,DistRoadway,DistOil,Ruggedness,VarPFG,VarShrub,VarBG,VarAFG,VarLit
LEK,4.829257488,63.05957413,10.73933983,7.129361629,6.292977333,4.805459023,26.37843704,568.0901489,0.063949913,2,0,1057.78833,5564.693359,35860.05469,6250.226074,654.6220093,4158.94043,15.41063213,16.16353035,8.481169701,5.076545715,7.470112801,2.755788565
LEK,1.571145177,66.79351807,11.87711716,2.804086447,6.021541595,7.881141186,25.77931595,508.1799622,0.284740359,9,0,2849.727051,5723.543457,14568.85059,5896.476074,500.7606812,2253.817871,13.80165386,23.83894348,1.887780905,10.31514645,14.94698429,4.771421432
LEK,1.674405098,72.59447479,8.86294651,2.478820562,5.513130665,6.322163105,25.84119225,526.9153442,0.235513866,21,0,3059.4375,5978.648926,7637.463867,5954.746094,446.1961365,810.329895,15.39028645,21.19997787,1.603342891,8.534379005,12.07844353,4.862947941
LEK,1.76157701,79.06159973,4.765873909,2.809887886,4.579174995,3.818124533,25.9911232,547.7080688,0.010620992,4,0,1477.317017,6188.964355,15386.27637,6408.580566,194.4272614,2570.250244,17.18341446,9.903187752,2.331575871,2.860180855,4.331950188,1.634591818
LEK,3.911568165,68.96321869,8.456028938,4.85931778,6.126663208,4.524950027,26.41444016,559.9788818,0.06173946,3,0,2573.774414,5665.759766,27629.99414,5727.643555,772.296814,3559.196777,16.724823,16.50629616,5.853473663,4.218764782,7.200187683,2.538299799
LEK,3.797410488,68.63991547,8.569302559,4.294886112,5.920331478,4.653662682,26.24920845,565.3421021,0.055320326,0,0,2045.477905,6732.521973,34238.8125,7469.637695,1343.737183,5480.397461,14.32862282,13.14663124,4.479773998,3.355357409,6.657598495,2.378486395
LEK,1.661175489,76.47648621,6.783541679,2.731817722,4.427763939,4.417599678,25.89450836,531.0932007,0.064217925,20,0,2728.624023,5255.256836,7860.383789,6926.391602,414.9397583,1393.773682,13.36318398,15.30136681,1.45415628,5.872853279,7.898414135,2.947857857
LEK,1.349063993,71.76790619,8.287316322,2.910026073,5.384850502,6.599202633,25.80395317,505.5391846,0.183632359,10,0,2474.924805,5405.535645,15735.4375,5600.775391,801.3428955,1173.022339,14.74057579,19.80449486,1.783733845,8.586763382,10.88351727,3.955570221
LEK,2.569161177,61.4119873,13.87301731,7.110866547,6.06041193,5.18655777,25.9776268,477.1153259,0.082913868,0,0,728.2136841,7872.515137,18104.30664,6274.495605,1090.883789,7009.036133,19.33606148,16.68076134,5.812855244,4.861041069,10.01266384,3.376648426
LEK,3.257397652,68.618927,9.035212517,3.075512648,5.547102451,6.018231869,26.17433739,560.5641479,0.130719244,1,0,2650.94751,8633.870117,29390.4375,8669.929688,557.6106567,4664.411621,16.29761314,18.35762787,2.127622843,7.552649975,7.859306812,2.952560425
LEK,7.498650551,56.40766144,13.5231638,2.170291424,6.321862221,10.48303318,26.90590096,649.1737061,0.369395912,3,0,1922.873047,1959.306396,14338.09277,14149.48242,58.47342682,1306.052856,16.66088486,25.88679314,1.629877567,10.75556183,10.91325951,4.931621075
LEK,2.152558088,60.19332886,13.77800369,6.726486206,6.747049809,6.707718849,25.95433426,475.7567139,0.169423193,0,0,1230.483887,9085.415039,19541.71289,7471.415527,330.2976685,8443.288086,17.92726707,17.54897499,5.876517296,7.226482391,10.73999119,3.76097393
